file;v11_key;construct_label_verbatim;ES_source;table_no
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 8
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 8
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 8
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 8
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
staging_Zheng_2021.csv;Zheng (2021);ENVSCORE;b with significance stars only;Table 9
