"cluster_id_dropped","k_es","k_study","est_z","se_z","ci_lb_z","ci_ub_z","df","sigma2_1","sigma2_2","sigma2_3","cooks_d_cluster","status","note"
"Wang et al (2025a)",2689,114,-0.0586546952377969,0.0139938967294343,-0.0863854032462137,-0.0309239872293801,110.6857917722,0.019960418933926,2.49930057056492e-09,0.0119663864118244,3.29426178543376e-07,"ok",""
"Wang et al (2025b)",2697,114,-0.0575194068619178,0.0139235495647589,-0.0851107583957999,-0.0299280553280358,110.669281262295,0.0197620478587772,2.89198333958615e-09,0.0119250267226379,0.00660972917147082,"ok",""
"Wu et al (2020)",2701,114,-0.0583865282846,0.0139832438909156,-0.0860961144988237,-0.0306769420703764,110.690065548064,0.0199543308486154,2.20127777746754e-09,0.0119230333611058,0.000352147091714847,"ok",""
"Xiang & Gong (2026)",2701,114,-0.0582701390718196,0.0139993869805431,-0.0860117028486409,-0.0305285752949983,110.694410925682,0.0199897433484236,1.60827307560874e-09,0.0118966369046579,0.000737626793852535,"ok",""
"Yang et al (2024)",2689,114,-0.0587705148522917,0.0139859474777715,-0.0864854868506768,-0.0310555428539066,110.679845210543,0.0199322112317875,2.64561881839001e-09,0.0119957313349429,7.96838578278675e-05,"ok",""
"Yilmaz (2022)",2709,114,-0.0594337689122447,0.0139924700890279,-0.0871615954947836,-0.0317059423297057,110.705429245792,0.0199942984363301,2.05476327498898e-09,0.0118105966350235,0.00322156460523028,"ok",""
"Zhang et al (2023)",2593,114,-0.0589378628187673,0.0138563885159904,-0.0863963602768088,-0.0314793653607259,110.583868689896,0.0194670813320189,1.74470728567191e-09,0.012483496683754,0.000440802794811078,"ok",""
"Zheng (2021)",2705,114,-0.0586603768376151,0.0140012832121305,-0.0864057050991201,-0.03091504857611,110.69193384423,0.019996833081792,1.73893187177345e-09,0.0119161162562227,9.67664834641753e-07,"ok",""
"Zhou et al (2018)",2691,114,-0.0595935424346113,0.0139458514697297,-0.0872290860285016,-0.0319579988407209,110.670045329981,0.0198187318997435,1.85586171642442e-09,0.0119627462655733,0.00466233603753749,"ok",""
"Zhou et al (2024)",2681,114,-0.0590141099666015,0.013976109194069,-0.0867095978602473,-0.0313186220729556,110.675602793306,0.0198946966247807,1.98583821625447e-09,0.0120236830631657,0.000701935234006305,"ok",""
"Zhu, Zhao (2022)",2685,114,-0.0590190915144912,0.0139769035705426,-0.0867161524852891,-0.0313220305436933,110.675994615395,0.0198989115851182,1.96343922117974e-09,0.0120172421025963,0.000721100650029325,"ok",""
