"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"B6","loso_post","Ho & Wong (2023)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2667,114,113,0.0090944895555471,0.0182740681318679,0.497671864300831,14.5320489833738,0.626161319449899,-0.0299652910971394,0.0481542702082336,,,,,,,,0.0205888239878567,1.45571061346201e-09,0.0120513989927618,,,,,,,FALSE,,"paris_mid refit without study 'Ho & Wong (2023)' (whole-study drop; 38 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Kordschia (2020)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2700,114,113,0.0124797999767206,0.0178530065508651,0.699030717384457,14.0019203282097,0.495981272375817,-0.0258105981422045,0.0507701980956457,,,,,,,,0.0207981917567845,2.74283949759439e-09,0.011740021752747,,,,,,,FALSE,,"paris_mid refit without study 'Kordschia (2020)' (whole-study drop; 5 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Kozak (2021)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2684,114,113,0.0102402176833511,0.0182089972428658,0.562371312751073,14.04493027357,0.582728227477424,-0.0288024793616017,0.0492829147283038,,,,,,,,0.020827948065888,1.75703123837539e-09,0.0118172718629937,,,,,,,FALSE,,"paris_mid refit without study 'Kozak (2021)' (whole-study drop; 21 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Li et al (2022)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2688,114,113,0.00233579241078983,0.0218133415052258,0.107080907811866,51.8986135479051,0.915137667396229,-0.0414379150926672,0.0461094999142469,,,,,,,,0.0207433101007676,2.06897926078252e-09,0.0119487056855199,,,,,,,FALSE,,"paris_mid refit without study 'Li et al (2022)' (whole-study drop; 17 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Lin et al (2025)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2676,114,113,0.0101029160291405,0.0182084488854804,0.554847702441951,14.4046608368859,0.5875116465391,-0.0288476474845802,0.0490534795428612,,,,,,,,0.020661956094985,1.48730081407523e-09,0.0119968466313434,,,,,,,FALSE,,"paris_mid refit without study 'Lin et al (2025)' (whole-study drop; 29 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Liu et al (2023)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2695,114,113,0.0097609774233954,0.0182395859016184,0.535153455568818,14.2783443750724,0.600779784374715,-0.029287618985256,0.0488095738320468,,,,,,,,0.0207172480625129,2.89240953052487e-09,0.0119221121143272,,,,,,,FALSE,,"paris_mid refit without study 'Liu et al (2023)' (whole-study drop; 10 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Nasih et al (2024)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2700,114,113,0.0129025573294607,0.01771652190202,0.728278236598435,14.4133491527782,0.478109393683615,-0.0249936234039999,0.0507987380629212,,,,,,,,0.0205773374930765,3.07213883231501e-09,0.0118908116595305,,,,,,,FALSE,,"paris_mid refit without study 'Nasih et al (2024)' (whole-study drop; 5 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Owolabi et al (2024)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2699,114,113,0.00906419608412797,0.0182752375483911,0.49598239476378,14.269318762132,0.627458795044532,-0.0300629989163492,0.0481913910846051,,,,,,,,0.0207061047359772,1.78704766583033e-10,0.0118959705681685,,,,,,,FALSE,,"paris_mid refit without study 'Owolabi et al (2024)' (whole-study drop; 6 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Panjwani et al (2023)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2535,114,113,0.0087369956261395,0.0182840164901798,0.477848815703708,14.7191867467157,0.639776715689012,-0.030299319607701,0.04777331085998,,,,,,,,0.0204950333014738,2.53604870433353e-09,0.0121442492906438,,,,,,,FALSE,,"paris_mid refit without study 'Panjwani et al (2023)' (whole-study drop; 170 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Ratajczak & Mikolajewicz (2021)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2699,114,113,0.012297102178069,0.0178621277622607,0.688445539173138,14.3648982894812,0.502139814190304,-0.0259222537444838,0.0505164581006218,,,,,,,,0.0206348721015382,1.35696932678966e-09,0.0118966495211891,,,,,,,FALSE,,"paris_mid refit without study 'Ratajczak & Mikolajewicz (2021)' (whole-study drop; 6 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Ririmasse et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2687,114,113,0.00895414180271286,0.0182818655353081,0.489782718586326,14.3604684484996,0.631685101418743,-0.0301644225172367,0.0480727061226624,,,,,,,,0.0206608461385264,2.84991227300045e-09,0.0119582703714517,,,,,,,FALSE,,"paris_mid refit without study 'Ririmasse et al (2026)' (whole-study drop; 18 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Shi et al (2025)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2690,114,113,0.00963925986008831,0.0182477968694097,0.528242391619747,14.3153538461729,0.605423951832893,-0.0294176411126667,0.0486961608328433,,,,,,,,0.0206983945156524,1.8432288587172e-09,0.0119425387078163,,,,,,,FALSE,,"paris_mid refit without study 'Shi et al (2025)' (whole-study drop; 15 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Tan et al (2021)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2699,114,113,0.0111467771530093,0.0180816325548188,0.616469620163732,14.2712313600132,0.547293109405967,-0.0275654336683929,0.0498589879744115,,,,,,,,0.0207172399487048,2.19741349813921e-09,0.0119008971929898,,,,,,,FALSE,,"paris_mid refit without study 'Tan et al (2021)' (whole-study drop; 6 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Tan et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2680,114,113,0.00933853383181733,0.0182655129448581,0.511265895461546,14.4184510185171,0.616904278828401,-0.029730698605555,0.0484077662691897,,,,,,,,0.0206454549904336,2.72768368331607e-09,0.0119997268240228,,,,,,,FALSE,,"paris_mid refit without study 'Tan et al (2026)' (whole-study drop; 25 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Tang et al (2023)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2692,114,113,0.0121015975326684,0.0179089230362567,0.675730054128252,14.3234661124731,0.509975428990075,-0.0262280023273873,0.0504311973927241,,,,,,,,0.0206605698274046,3.16526328841281e-09,0.0119086606086595,,,,,,,FALSE,,"paris_mid refit without study 'Tang et al (2023)' (whole-study drop; 13 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Temiz (2022)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2692,114,113,0.0102486468662674,0.0181970464014636,0.563203865075768,14.293602167274,0.582023916917652,-0.0287050589184423,0.0492023526509771,,,,,,,,0.020713775761207,2.46546067837642e-09,0.0119354184260657,,,,,,,FALSE,,"paris_mid refit without study 'Temiz (2022)' (whole-study drop; 13 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
